# Los Angeles Sales Data - Competition Period
# Generated: 2025-06-30T02:57:40.318Z
# Competition Period: 2025-06-23 to 2025-07-06
# Total Sales: 350
# Highest Sale: $12,700,000
#
address,price,beds,baths,sqft,sale_date,url
"20523 Tiara St",1280000,4,2,1595,2025-06-27,"https://www.redfin.com/CA/Woodland-Hills/20523-Tiara-St-91367/home/4022725"
"13316 Sylvan St",1269000,4,2,2170,2025-06-26,"https://www.redfin.com/CA/Van-Nuys/13316-Sylvan-St-91401/home/5095449"
"22548 Victory Blvd",1260000,4,2.5,2136,2025-06-23,"https://www.redfin.com/CA/Woodland-Hills/22548-Victory-Blvd-91367/home/3218868"
"681 S Norton Ave #104",1260000,4,4,2227,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/681-S-Norton-Ave-90005/unit-104/home/8143210"
"19724 Kilfinan St",1250000,5,3,2378,2025-06-26,"https://www.redfin.com/CA/Porter-Ranch/19724-Kilfinan-St-91326/home/5772699"
"23127 Cass Ave",1250000,4,2.25,2691,2025-06-25,"https://www.redfin.com/CA/Woodland-Hills/23127-Cass-Ave-91364/home/3566175"
"1715 W Santa Cruz St",1246000,4,1.5,1793,2025-06-24,"https://www.redfin.com/CA/San-Pedro/1715-W-Santa-Cruz-St-90732/home/7734623"
"4734 Baltimore St",1230000,2,1,1135,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/4734-Baltimore-St-90042/home/7081952"
"12384 Woodley Ave",1230000,4,3,3150,2025-06-26,"https://www.redfin.com/CA/Granada-Hills/12384-Woodley-Ave-91344/home/5567505"
"3843 N Riley Ln",1220425,2,2.5,1642,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/3843-N-Riley-Ln-90065/home/196186229"
"623 Rosemont Ave",1220000,2,1,1213,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/623-Rosemont-Ave-90026/home/7052500"
"23026 Dolorosa St",1206000,3,2,1513,2025-06-27,"https://www.redfin.com/CA/Woodland-Hills/23026-Dolorosa-St-91367/home/3244686"
"4950 Campo Rd",1203000,3,2,1853,2025-06-27,"https://www.redfin.com/CA/Woodland-Hills/4950-Campo-Rd-91364/home/4180189"
"1927 Marina Dr",1201000,3,2,1520,2025-06-24,"https://www.redfin.com/CA/San-Pedro/1927-Marina-Dr-90732/home/7736767"
"7401 S Sepulveda Blvd #124",1200124,3,3.5,2080,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/7401-S-Sepulveda-Blvd-90045/unit-124/home/40154045"
"13604 Lemay St",1200007,4,2.5,2651,2025-06-24,"https://www.redfin.com/CA/Van-Nuys/13604-Lemay-St-91401/home/5090464"
"8815 Riderwood Dr",1200000,4,1.75,1831,2025-06-24,"https://www.redfin.com/CA/Sunland/8815-Riderwood-Dr-91040/home/5498619"
"8402 McGroarty St",1200000,4,2,2400,2025-06-26,"https://www.redfin.com/CA/Sunland/8402-McGroarty-St-91040/home/5525595"
"920 W Elberon Ave",1200000,4,3.5,2404,2025-06-23,"https://www.redfin.com/CA/San-Pedro/920-W-Elberon-Ave-90731/home/7687450"
"6521 Aldama St",1189840,3,2,1090,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/6521-Aldama-St-90042/home/7086699"
"450 Rustic Dr",1150000,3,2,1152,2025-06-26,"https://www.redfin.com/CA/Los-Angeles/450-Rustic-Dr-90065/home/7075929"
"14222 Sylvan St",1126000,7,6,5047,2025-06-23,"https://www.redfin.com/CA/Van-Nuys/14222-Sylvan-St-91401/home/4641537"
"10022 Roscoe Blvd",1110000,3,2,1627,2025-06-24,"https://www.redfin.com/CA/Sun-Valley/10022-Roscoe-Blvd-91352/home/5267390"
"18872 Dylan St",1100000,3,1.75,1378,2025-06-26,"https://www.redfin.com/CA/Porter-Ranch/18872-Dylan-St-91326/home/6095289"
"10503 Jimenez St",1100000,3,1.75,1835,2025-06-27,"https://www.redfin.com/CA/Sylmar/10503-Jimenez-St-91342/home/5464299"
"12236 Beaufait Ave",1100000,4,2,2094,2025-06-23,"https://www.redfin.com/CA/Porter-Ranch/12236-Beaufait-Ave-91326/home/6092106"
"7220 Waring Ave",1100000,3,1.75,1422,2025-06-23,"https://www.redfin.com/CA/Los-Angeles/7220-Waring-Ave-90046/home/7101816"
"16347 Tupper St",1090000,4,2,1644,2025-06-27,"https://www.redfin.com/CA/North-Hills/16347-Tupper-St-91343/home/5721377"
"4418 Ellenwood Dr",1085000,3,2,1292,2025-06-25,"https://www.redfin.com/CA/Los-Angeles/4418-Ellenwood-Dr-90041/home/7079883"
"4865 Granada St",1077000,2,1,818,2025-06-27,"https://www.redfin.com/CA/Los-Angeles/4865-Granada-St-90042/home/7078593"
"4050 Glencoe Ave #211",1075000,2,2,1380,2025-06-27,"https://www.redfin.com/CA/Marina-del-Rey/4050-Glencoe-Ave-90292/unit-211/home/17228801"
"6422 Yarmouth Ave",1075000,3,2,1849,2025-06-27,"https://www.redfin.com/CA/Reseda/6422-Yarmouth-Ave-91335/home/3820249"
"4112 Knobhill Dr",1075000,2,2,1836,2025-06-24,"https://www.redfin.com/CA/Sherman-Oaks/4112-Knobhill-Dr-91403/home/4868233"
"9438 Burnet Ave",1075000,3,2,1802,2025-06-27,"https://www.redfin.com/CA/North-Hills/9438-Burnet-Ave-91343/home/5693043"
"1513 W 83rd St",1070000,5,4,1925,2025-06-24,"https://www.redfin.com/CA/Los-Angeles/1513-W-83rd-St-90047/home/194971515"
"15609 Huston St",1070000,2,2,1720,2025-06-27,"https://www.redfin.com/CA/Encino/15609-Huston-St-91436/home/8141337"
