address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"178 Crystal St",735000,0,0,1272,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/178-Crystal-St-11208/home/40765249"
"35 E 38th St Unit 1A",740000,0,0,443,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/NY/New-York/35-E-38th-St-10016/unit-1A/home/45251878"
"194 Meserole St Unit 1A",750000,1,1.5,800,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/194-Meserole-St-11206/unit-1A/home/40917892"
"2064 East 73rd St",753000,3,1.75,1064,"2025-06-17T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/2064-E-73rd-St-11234/home/40899240"
"2680 Briggs Ave",775000,0,0,2523,"2025-04-17T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/2680-Briggs-Ave-10458/home/44615894"
"512 E 29th St",790000,0,0,1364,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/512-E-29th-St-11210/home/40789903"
"1641 3rd Ave Unit 31C",805000,0,0,793,"2025-05-27T07:00:00Z","YES","https://www.redfin.com/NY/New-York/1641-3rd-Ave-10128/unit-31C/home/45123531"
"8934 Gettysburg St",820000,0,0,1460,"2025-04-15T07:00:00Z","YES","https://www.redfin.com/NY/Bellerose/8934-Gettysburg-St-11426/home/20805275"
"215 W 95th St Unit 10F",820000,0,0,704,"2025-06-06T07:00:00Z","YES","https://www.redfin.com/NY/New-York/215-W-95th-St-10025/unit-10F/home/45275161"
"258 49th St",829873,0,0,2232,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/258-49th-St-11220/home/40692679"
"613 Barretto St",831855,0,0,4200,"2025-06-05T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/613-Barretto-St-10474/home/44741268"
"2218 Jackson Ave #206",840000,0,0,674,"2025-05-06T07:00:00Z","YES","https://www.redfin.com/NY/Long-Island-City/2218-Jackson-Ave-11101/unit-206/home/146895607"
"1139 E 59th St",850000,0,0,2660,"2025-05-07T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/1139-E-59th-St-11234/home/40880138"
"323 Shepherd Ave",850000,0,0,2820,"2025-05-14T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/323-Shepherd-Ave-11208/home/40296151"
"789 Elsmere Pl",850000,0,0,1568,"2025-04-08T07:00:00Z","YES","https://www.redfin.com/NY/Bronx/789-Elsmere-Pl-10460/home/44746286"
"60 8th St",850000,3,1.75,1400,"2025-05-02T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/60-8th-St-10306/home/56093820"
"14415 97th Ave",850000,0,0,1699,"2025-05-06T07:00:00Z","YES","https://www.redfin.com/NY/Jamaica/14415-97th-Ave-11435/home/20758122"
"63 Pilot Ln",858000,2,2.5,2490,"2025-05-12T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/63-Pilot-Ln-10309/home/56127329"
"13538 224th St",865000,0,0,1092,"2025-04-22T07:00:00Z","YES","https://www.redfin.com/NY/Laurelton/13538-224th-St-11413/home/20693140"
"150-32 8 Ave",865000,4,1,1300,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/NY/Whitestone/15032-8th-Ave-11357/home/20867279"
"152 Joseph Ave",870000,0,0,2095,"2025-05-16T07:00:00Z","YES","https://www.redfin.com/NY/Staten-Island/152-Joseph-Ave-10314/home/56104207"
"1928 New York Ave",875000,0,0,1428,"2025-05-08T07:00:00Z","YES","https://www.redfin.com/NY/Brooklyn/1928-New-York-Ave-11210/home/28668509"
