# Miami, FL Baseline Calculation Summary
# Generated: 2025-06-25T06:44:58.200Z
# Baseline Period: 90 days
# Total Sales Found: 349
# Sales Used for Baseline: 342
# Outliers Removed: 7
# Calculated Baseline: $582,500
# Price Range (after outliers): $118,000 - $4,050,000
# Median Calculation: Average of middle two values ($580,000 + $585,000) ÷ 2
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"22504 SW 114th Pl",520000,4,2,1200,"2025-04-18T07:00:00Z","YES","https://www.redfin.com/FL/Miami/22504-SW-114th-Pl-33170/home/43436384"
"5743 SW 148th Ct",525000,3,2,1827,"2025-04-10T07:00:00Z","YES","https://www.redfin.com/FL/Miami/5743-SW-148th-Ct-33193/home/43138621"
"11046 SW 139th Pl",525000,4,2,2393,"2025-04-10T07:00:00Z","YES","https://www.redfin.com/FL/Miami/11046-SW-139th-Pl-33186/home/43191880"
"17740 SW 146th Ct",525000,3,2,1249,"2025-04-21T07:00:00Z","YES","https://www.redfin.com/FL/Miami/17740-SW-146th-Ct-33177/home/43201060"
"2889 McFarlane Rd #1913",530000,1,1,628,"2025-05-19T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2889-McFarlane-Rd-33133/unit-1913/home/43274497"
"12991 SW 135th St",535000,3,2.5,1758,"2025-06-16T07:00:00Z","YES","https://www.redfin.com/FL/Miami/12991-SW-135th-St-33186/home/43343582"
"1600 NE 1st Ave #2007",535000,2,2,880,"2025-05-23T07:00:00Z","YES","https://www.redfin.com/FL/Miami/1600-NE-1st-Ave-33132/unit-2007/home/168005385"
"17834 SW 144th Ct",537000,3,2,1236,"2025-05-05T07:00:00Z","YES","https://www.redfin.com/FL/Miami/17834-SW-144th-Ct-33177/home/43210326"
"690 SW 1st Ct #9",539000,0,2,1255,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/FL/Miami/690-SW-1st-Ct-33130/unit-9/home/43368284"
"12642 NW 7th Ln",540000,4,3,1824,"2025-05-06T07:00:00Z","YES","https://www.redfin.com/FL/Miami/12642-NW-7th-Ln-33182/home/43047233"
"13324 SW 112th Ct",540000,5,3,1849,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/FL/Miami/13324-SW-112th-Ct-33176/home/43159612"
"2333 Brickell Ave #509",545000,1,1,930,"2025-05-06T07:00:00Z","YES","https://www.redfin.com/FL/Miami/2333-Brickell-Ave-33129/unit-509/home/42758792"
"511 NW 44th St",550000,2,1,1189,"2025-04-21T07:00:00Z","YES","https://www.redfin.com/FL/Miami/511-NW-44th-St-33127/home/43409847"
