# Phoenix, AZ Baseline Calculation Summary
# Generated: 2025-06-25T06:44:54.806Z
# Baseline Period: 90 days
# Total Sales Found: 350
# Sales Used for Baseline: 343
# Outliers Removed: 7
# Calculated Baseline: $460,000
# Price Range (after outliers): $150,000 - $3,780,000
# Median Calculation: Middle value: $460,000
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"3026 N 42nd Ave",375000,3,2,1734,"2025-05-05T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3026-N-42nd-Ave-85019/home/28111685"
"1314 E Wickieup Ln",375000,2,2,1032,"2025-05-05T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1314-E-Wickieup-Ln-85024/home/27240100"
"2649 N 85th Ave",375000,3,2,1251,"2025-05-21T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2649-N-85th-Ave-85037/home/27501297"
"1245 E Avenida Hermosa --",379000,2,2,1065,"2025-04-28T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1245-E-Avenida-Hermosa-85014/home/26972207"
"6840 W Beatrice St",380000,0,2,1392,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/6840-W-Beatrice-St-85043/home/27492601"
"40713 N Apollo Way",382000,2,2,1350,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/AZ/Anthem/40713-N-Apollo-Way-85086/home/27086006"
"2725 E Mine Creek Rd #1058",383000,0,3,1166,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/2725-E-Mine-Creek-Rd-85024/unit-1058/home/28335704"
"925 E Garfield St",385000,0,1,822,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/925-E-Garfield-St-85006/home/28354757"
"22 E Southgate Ave",385000,4,3,1800,"2025-06-04T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/22-E-Southgate-Ave-85040/home/27454999"
"12042 N 30th Pl",385578,0,1,960,"2025-04-18T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/12042-N-30th-Pl-85028/home/28257554"
"3124 W Taro Ln",387000,3,2,1462,"2025-05-28T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3124-W-Taro-Ln-85027/home/27565052"
"10739 W Coolidge St",387900,5,3,2221,"2025-04-16T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/10739-W-Coolidge-St-85037/home/27472661"
"1915 W Colter St #104",389000,0,2,1416,"2025-04-29T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1915-W-Colter-St-85016/unit-104/home/27603654"
"3117 W Casino Ave",391000,3,2,1299,"2025-05-08T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/3117-W-Casino-Ave-85083/home/28147550"
"1121 W Muriel Dr",394000,0,2,1193,"2025-05-13T07:00:00Z","YES","https://www.redfin.com/AZ/Phoenix/1121-W-Muriel-Dr-85023/home/28212723"
