# Nashville, TN Baseline Calculation Summary
# Generated: 2025-06-25T06:44:51.649Z
# Baseline Period: 90 days
# Total Sales Found: 350
# Sales Used for Baseline: 343
# Outliers Removed: 7
# Calculated Baseline: $529,000
# Price Range (after outliers): $185,000 - $5,167,715
# Median Calculation: Middle value: $529,000
#
address,price,beds,baths,sqft,lastSoldDate,included_in_baseline,url
"1742 Flora Grv",430000,4,2.5,2018,"2025-04-08T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/1742-Flora-Grv-37076/home/194605122"
"111 Peachtree St",430000,3,2,1152,"2025-05-22T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/111-Peachtree-St-37210/home/107990173"
"640 Topeka Dr",430000,3,2.5,1950,"2025-05-14T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/640-Topeka-Dr-37076/home/108084759"
"868 Westcott Ln",434900,3,3,1530,"2025-04-02T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/868-Westcott-Ln-37013/home/193083805"
"1522 Harwood Dr",435000,3,1,1165,"2025-03-31T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1522-Harwood-Dr-37206/home/108124860"
"3336 Quail Run Ct",435000,3,3.5,2329,"2025-05-28T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/3336-Quail-Run-Ct-37214/home/108113700"
"614 Markham",435500,3,2.5,1849,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/614-Markham-St-37214/home/189657080"
"701 S 13th St",437500,3,1,1108,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/701-S-13th-St-37206/home/88333834"
"311 Seven Springs Way #101",440000,2,2,1263,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/TN/Brentwood/311-Seven-Springs-Way-37027/unit-101/home/60659063"
"1100 Sunnymeade Dr #127",440000,3,3,1736,"2025-05-25T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1100-Sunnymeade-Dr-37216/unit-127/home/184514989"
"4249 Skyridge Dr",440000,4,2.5,2018,"2025-03-27T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/4249-Skyridge-Dr-37207/home/194112129"
"1021 Ainsworth Cir",440000,4,2.5,2550,"2025-04-24T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/1021-Ainsworth-Cir-37013/home/108092933"
"1747 Flora Grv",442140,3,2.5,1749,"2025-04-24T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/1747-Flora-Grv-37076/home/194890480"
"5038 Lawler Ln",444990,3,2.5,1952,"2025-04-24T07:00:00Z","YES","https://www.redfin.com/TN/Old-Hickory/5038-Lawler-Ln-37138/home/194445625"
"600 Glenpark Ct",445000,4,1.5,2075,"2025-04-14T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/600-Glenpark-Ct-37217/home/60808742"
"5449 Reagan Run",445000,3,2,2124,"2025-05-23T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/5449-Reagan-Run-37013/home/108015934"
"712 Walleye Way",448790,4,2.5,2174,"2025-05-30T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/712-Walleye-WAY-37013/home/194785236"
"1102 Noble Loop #3",449999,3,3.5,1842,"2025-06-10T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1102-Noble-Loop-37211/unit-3/home/193726051"
"5927 Old Harding Pike",450000,3,2,1562,"2025-06-03T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/5927-Old-Harding-Pike-37205/home/60790133"
"1835 Mahala Dr",450000,4,2,1834,"2025-05-17T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/1835-Mahala-Dr-37076/home/194944793"
"1738 Flora Grv",450000,4,2.5,1934,"2025-04-10T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/1738-Flora-Grv-37076/home/195340666"
"1005 Kiley Ct",450000,4,2,1835,"2025-05-15T07:00:00Z","YES","https://www.redfin.com/TN/Cane-Ridge/1005-Kiley-Ct-37013/home/194962512"
"1505 Wayne Dr",450000,0,0,0,"2025-04-04T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1505-Wayne-Dr-37206/home/108113523"
"2032 Pleasant Cv",450000,3,2.5,1663,"2025-05-29T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/2032-Pleasant-Cv-37214/home/107984761"
"1153 Streamdale Pt E",450000,3,2.5,2548,"2025-05-01T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/1153-Streamdale-Pt-E-37013/home/68843458"
"878 Westcott Ln",451335,3,2.5,1505,"2025-06-20T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/878-Westcott-Ln-37013/home/193333303"
"2031 Pleasant Cv",454000,3,2.5,1663,"2025-04-24T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/2031-Pleasant-Cv-37214/home/195275443"
"1425 Franklin Ave",455000,2,1,1101,"2025-04-15T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/1425-Franklin-Ave-37206/home/108064112"
"1752 Flora Grv",456140,4,2.5,2018,"2025-06-09T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/1752-Flora-Grv-37076/home/195094640"
"4224 Skyridge Dr",457140,4,2.5,1934,"2025-05-22T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/4224-Skyridge-Dr-37207/home/195090735"
"362 E Village Ln",459900,3,3.5,1709,"2025-06-02T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/362-E-Village-Ln-37216/home/174894242"
"706 James Ave",460000,2,2.5,1296,"2025-05-15T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/706-James-Ave-37209/home/148398218"
"900 20th Ave S #912",460000,1,1,808,"2025-04-11T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/900-20th-Ave-S-37212/unit-912/home/68704502"
"1216 Aberlour Aly",460000,3,2.5,2368,"2025-06-18T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/1216-Aberlour-Aly-37013/home/186152031"
"2212 Long Branch Ct",460000,4,2.5,1937,"2025-03-28T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/2212-Long-Branch-Ct-37013/home/184523718"
"1009 Larkwood Dr",460000,3,2.5,2650,"2025-04-02T07:00:00Z","YES","https://www.redfin.com/TN/Hermitage/1009-Larkwood-Dr-37076/home/60669398"
"3889 Northbrook Dr",465000,4,2.5,1934,"2025-06-16T07:00:00Z","YES","https://www.redfin.com/TN/Nashville/3889-Northbrook-Dr-37207/home/196081662"
"2208 Long Branch Ct",465000,4,2.5,2210,"2025-05-28T07:00:00Z","YES","https://www.redfin.com/TN/Antioch/2208-Long-Branch-Ct-37013/home/184523719"
